 iteration      beta_a      beta_b
     26525    2.648311    1.254510
     26550    2.659105    1.276110
     26575    2.573273    1.260483
     26600    2.714746    1.316425
     26625    2.692940    1.295729
     26650    2.573627    1.217898
     26675    2.482367    1.213679
     26700    2.632195    1.237835
     26725    2.603213    1.265408
     26750    2.641300    1.251562
     26775    2.659827    1.277555
     26800    2.587183    1.250155
     26825    2.538704    1.258284
     26850    2.592198    1.279509
     26875    2.588629    1.295317
     26900    2.668257    1.272855
     26925    2.419349    1.176572
     26950    2.821645    1.311342
     26975    2.756061    1.332065
     27000    2.821849    1.324223
     27025    2.684361    1.277211
     27050    2.644720    1.287184
     27075    2.654128    1.215840
     27100    2.641305    1.287487
     27125    2.725147    1.298343
     27150    2.680020    1.281496
     27175    2.812688    1.317616
     27200    2.596857    1.273073
     27225    2.593877    1.256120
     27250    2.624352    1.275008
     27275    2.574303    1.260790
     27300    2.520475    1.278461
     27325    2.682895    1.289510
     27350    2.591616    1.283720
     27375    2.470859    1.261244
     27400    2.765697    1.344453
     27425    2.396050    1.231595
     27450    2.751424    1.309116
     27475    2.550075    1.195054
     27500    2.568681    1.294188
     27525    2.565084    1.205023
     27550    2.844387    1.349130
     27575    2.705408    1.316708
     27600    2.525064    1.197544
     27625    2.657994    1.299312
     27650    2.611392    1.244013
     27675    2.551298    1.222817
     27700    2.556715    1.258311
     27725    2.712763    1.347911
     27750    2.677439    1.346889
     27775    2.527823    1.230362
     27800    2.751087    1.305997
     27825    2.611611    1.267438
     27850    2.448413    1.250799
     27875    2.628037    1.238624
     27900    2.679684    1.281747
     27925    2.569147    1.202181
     27950    2.562513    1.258239
     27975    2.628883    1.246445
     28000    2.772176    1.307720
     28025    2.663822    1.282702
     28050    2.735802    1.327755
     28075    2.619898    1.212643
     28100    2.649808    1.283320
     28125    2.502380    1.248491
     28150    2.674267    1.294331
     28175    2.683952    1.275482
     28200    2.751506    1.307887
     28225    2.483177    1.179593
     28250    2.533567    1.233060
     28275    2.506502    1.225286
     28300    2.582301    1.253761
     28325    2.627538    1.307771
     28350    2.728847    1.312717
     28375    2.758025    1.308169
     28400    2.749420    1.285087
     28425    2.572639    1.269417
     28450    2.809389    1.296576
     28475    2.588956    1.234170
     28500    2.639348    1.228354
     28525    2.710584    1.334624
     28550    2.578598    1.241247
     28575    2.751209    1.315813
     28600    2.673649    1.295185
     28625    2.632157    1.273380
     28650    2.582580    1.287515
     28675    2.740765    1.313037
     28700    2.858938    1.351514
     28725    2.601419    1.272006
     28750    2.646530    1.240523
     28775    2.712463    1.213220
     28800    2.646868    1.294402
     28825    2.546130    1.248941
     28850    2.767030    1.312058
     28875    2.787028    1.298130
     28900    2.613828    1.237584
     28925    2.689435    1.285743
     28950    2.678440    1.271473
     28975    2.653724    1.309766
     29000    2.715440    1.323667
     29025    2.751476    1.334911
     29050    2.534348    1.254018
     29075    2.676247    1.288667
     29100    2.704811    1.281593
     29125    2.626867    1.232928
     29150    2.580543    1.221779
     29175    2.682890    1.298401
     29200    2.592448    1.319963
     29225    2.679048    1.317710
     29250    2.548791    1.256217
     29275    2.569962    1.213100
     29300    2.560199    1.231612
     29325    2.492344    1.273517
     29350    2.683309    1.301697
     29375    2.479936    1.217326
     29400    2.635589    1.286464
     29425    2.561674    1.231376
     29450    2.600256    1.242178
     29475    2.549939    1.259873
     29500    2.583363    1.244596
     29525    2.458599    1.188768
     29550    2.660473    1.272864
     29575    2.714166    1.279407
     29600    2.646091    1.276435
     29625    2.759339    1.301002
     29650    2.508991    1.235414
     29675    2.691764    1.305262
     29700    2.565830    1.227035
     29725    2.520390    1.200121
     29750    2.680959    1.298438
     29775    2.647211    1.287548
     29800    2.683413    1.286538
