 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
     56800   -3.63456e+05    0.242383    0.186667    0.186009    0.360000    0.240000    0.321824    0.295227
     56825   -3.67222e+05    0.243149    0.173333    0.185603    0.320000    0.240000    0.321938    0.294778
     56850   -3.66633e+05    0.241574    0.160000    0.185338    0.200000    0.320000    0.321728    0.294510
     56875   -3.65597e+05    0.242893    0.213333    0.186376    0.240000    0.200000    0.321225    0.294624
     56900   -3.66172e+05    0.242506    0.133333    0.186418    0.320000    0.320000    0.321494    0.295078
     56925   -3.65093e+05    0.241722    0.160000    0.185094    0.320000    0.440000    0.322710    0.295123
     56950   -3.67105e+05    0.242402    0.106667    0.185685    0.240000    0.240000    0.322066    0.294350
     56975   -3.67554e+05    0.241813    0.106667    0.185434    0.320000    0.320000    0.321877    0.294507
     57000   -3.66698e+05    0.242048    0.106667    0.184383    0.280000    0.080000    0.322275    0.294733
     57025   -3.65344e+05    0.241805    0.200000    0.184371    0.360000    0.120000    0.320813    0.295272
     57050   -3.62571e+05    0.241903    0.146667    0.185355    0.360000    0.240000    0.322383    0.294926
     57075   -3.62893e+05    0.242808    0.173333    0.186504    0.280000    0.360000    0.321307    0.295688
